High_code
1	W1	1	50	18.4547	0.4	0.0870354	1000	0.8	-0.001	3	1	0.1	0.2	0.004	0.012	0.04	0.1	0.35	0.33333	4.27	0.1
2	W2	1	50	56.243	0.4	0.0794118	1000	0.6	-0.001	2.5	1	0.1	0.2	0.004	0.012	0.04	0.1	0.2	0.33333	3.66	0.1
3	S1L	1	3	38.7247	0.25	0.0865974	1000	1	-0.001	3	1	0	0.2	0.006	0.012	0.03	0.08	0.25	0.33333	3.66	0.05
4	S1M	4	7	51.7562	0.156	0.133734	1000	1	-0.001	3	1	0	0.2	0.004	0.008	0.02	0.0533	0.216	0.33333	3.66	0.05
5	S1H	8	50	62.9659	0.098	0.181032	1000	1	-0.001	3	1	0	0.2	0.003	0.006	0.015	0.04	0.17	0.33333	3.66	0.05
6	S2L	1	3	56.243	0.4	0.0670927	1000	0.5	-0.001	2	1	0	0.2	0.005	0.01	0.03	0.08	0.2	0.33333	3.66	0.05
7	S2M	4	7	75.8694	0.333	0.103936	1000	0.5	-0.001	2	1	0	0.2	0.0033	0.0067	0.02	0.0533	0.172	0.33333	3.66	0.05
8	S2H	8	50	85.0452	0.254	0.142936	1000	0.5	-0.001	2	1	0	0.2	0.0025	0.005	0.015	0.04	0.136154	0.33333	3.66	0.05
9	S3	1	50	14.0607	0.4	0.0670927	1000	1	-0.001	2	1	0	0.2	0.004	0.008	0.024	0.07	0.4	0.33333	4.57	0.05
10	S4L	1	3	74.5959	0.32	0.0727412	1000	0.5	-0.001	2.25	1	0	0.2	0.004	0.008	0.024	0.07	0.175	0.33333	3.66	0.05
11	S4M	4	7	135.617	0.267	0.113192	1000	0.5	-0.001	2.25	1	0	0.2	0.0027	0.0053	0.016	0.0467	0.13	0.33333	3.66	0.05
12	S4H	8	50	150.934	0.203	0.156628	1000	0.5	-0.001	2.25	1	0	0.2	0.002	0.004	0.012	0.035	0.101538	0.33333	3.66	0.05
13	S5L	1	3	73.8189	0.1	0.111111	1000	0.3	-0.001	2	1	0	0.2	0.003	0.006	0.015	0.035	0.175	0.33333	3.66	0.05
14	S5M	4	7	135.154	0.083	0.178288	1000	0.3	-0.001	2	1	0	0.2	0.002	0.004	0.01	0.0233	0.13	0.33333	3.66	0.05
15	S5H	8	50	149.979	0.063	0.253968	1000	0.3	-0.001	2	1	0	0.2	0.0015	0.003	0.0075	0.0175	0.101538	0.33333	3.66	0.05
16	C1L	1	3	60.5694	0.25	0.0864933	1000	0.5	-0.001	3	1	0.4	0.2	0.005	0.01	0.03	0.08	0.2	0.33333	3.05	0.07
17	C1M	4	7	106.813	0.208	0.133025	1000	0.5	-0.001	3	1	0.4	0.2	0.0033	0.0067	0.02	0.0533	0.15	0.33333	3.05	0.07
18	C1H	8	50	124.386	0.098	0.180809	1000	0.5	-0.001	3	1	0.4	0.2	0.0025	0.005	0.015	0.04	0.120833	0.33333	3.05	0.07
19	C2L	1	3	73.8189	0.4	0.079034	1000	0.6	-0.001	2.5	1	0.4	0.2	0.004	0.01	0.03	0.08	0.175	0.33333	3.05	0.07
20	C2M	4	7	177.272	0.333	0.121997	1000	0.6	-0.001	2.5	1	0.4	0.2	0.0027	0.0067	0.02	0.0533	0.112	0.33333	3.05	0.07
21	C2H	8	50	191.02	0.254	0.16673	1000	0.6	-0.001	2.5	1	0.4	0.2	0.002	0.005	0.015	0.04	0.0908333	0.33333	3.05	0.07
22	C3L	1	3	73.8189	0.1	0.121951	1000	0.3	-0.001	2.25	1	0.4	0.2	0.003	0.006	0.015	0.035	0.175	0.33333	3.05	0.07
23	C3M	4	7	176.739	0.083	0.194625	1000	0.3	-0.001	2.25	1	0.4	0.2	0.002	0.004	0.01	0.0233	0.112	0.33333	3.05	0.07
24	C3H	8	50	188.236	0.063	0.277192	1000	0.3	-0.001	2.25	1	0.4	0.2	0.0015	0.003	0.0075	0.0175	0.0908333	0.33333	3.05	0.07
25	PC1	1	50	12.3031	0.6	0.0667285	1000	0.5	-0.001	2	1	0.1	0.2	0.004	0.008	0.024	0.07	0.35	0.33333	4.57	0.07
26	PC2L	1	3	73.8189	0.4	0.0667594	1000	0.5	-0.001	2	1	0.1	0.2	0.004	0.008	0.024	0.07	0.175	0.33333	3.05	0.07
27	PC2M	4	7	177.272	0.333	0.104	1000	0.5	-0.001	2	1	0.1	0.2	0.0027	0.0053	0.016	0.0467	0.112	0.33333	3.05	0.07
28	PC2H	8	50	191.02	0.254	0.142857	1000	0.5	-0.001	2	1	0.1	0.2	0.002	0.004	0.012	0.035	0.0908333	0.33333	3.05	0.07
29	RM1L	1	3	73.7728	0.533	0.0667362	1000	0.6	-0.001	2	1	0.1	0.2	0.004	0.008	0.024	0.07	0.175	0.33333	3.05	0.1
30	RM1M	4	50	178.128	0.444	0.103371	1000	0.6	-0.001	2	1	0.1	0.2	0.0027	0.0053	0.016	0.0467	0.112	0.33333	3.05	0.1
31	RM2L	1	3	73.7728	0.533	0.0667362	1000	0.6	-0.001	2	1	0.1	0.2	0.004	0.008	0.024	0.07	0.175	0.33333	3.05	0.1
32	RM2M	4	7	178.128	0.444	0.103371	1000	0.6	-0.001	2	1	0.1	0.2	0.0027	0.0053	0.016	0.0467	0.112	0.33333	3.05	0.1
33	RM2H	8	50	190.644	0.338	0.143332	1000	0.6	-0.001	2	1	0.1	0.2	0.002	0.004	0.012	0.035	0.0908333	0.33333	3.05	0.1
34	URML	1	2	12.3031	0.2	0.111111	1000	0.3	-0.001	2	1	0.1	0.2	0.003	0.006	0.015	0.035	0.35	0.33333	4.57	0.1
35	URMM	3	50	81.939	0.111	0.175325	1000	0.3	-0.001	2	1	0.1	0.2	0.002	0.004	0.01	0.0233	0.166667	0.33333	3.56	0.1
36	MH	1	50	32.8084	0.15	0.0909091	1000	0.4	-0.001	2	1	0.1	0.2	0.004	0.008	0.024	0.07	0.35	0.33333	3.05	0.05
Moderate_code
1	W1	1	50	18.4547	0.3	0.117647	1000	0.6	-0.001	3	1	0.1	0.2	0.004	0.0099	0.0306	0.075	0.35	0.33333	4.27	0.1
2	W2	1	50	57.1501	0.2	0.105923	1000	0.4	-0.001	2.5	1	0.1	0.2	0.004	0.0099	0.0306	0.075	0.2	0.33333	3.66	0.1
3	S1L	1	3	38.1001	0.125	0.119461	1000	1	-0.001	3	1	0	0.2	0.006	0.0104	0.0235	0.06	0.25	0.33333	3.66	0.05
4	S1M	4	7	51.7562	0.078	0.182377	1000	1	-0.001	3	1	0	0.2	0.004	0.0069	0.0157	0.04	0.216	0.33333	3.66	0.05
5	S1H	8	50	62.9659	0.049	0.250134	1000	1	-0.001	3	1	0	0.2	0.003	0.0052	0.0118	0.03	0.17	0.33333	3.66	0.05
6	S2L	1	3	57.1501	0.2	0.0898551	1000	0.4	-0.001	2	1	0	0.2	0.005	0.0087	0.0233	0.06	0.2	0.33333	3.66	0.05
7	S2M	4	7	76.4117	0.167	0.141667	1000	0.4	-0.001	2	1	0	0.2	0.0033	0.0058	0.0156	0.04	0.172	0.33333	3.66	0.05
8	S2H	8	50	85.155	0.127	0.199793	1000	0.4	-0.001	2	1	0	0.2	0.0025	0.0043	0.0117	0.03	0.136154	0.33333	3.66	0.05
9	S3	1	50	14.2875	0.2	0.0898551	1000	1	-0.001	2	1	0	0.2	0.004	0.007	0.0187	0.0525	0.4	0.33333	4.57	0.05
10	S4L	1	3	74.5959	0.16	0.0989583	1000	0.4	-0.001	2.25	1	0	0.2	0.004	0.0069	0.0187	0.0525	0.175	0.33333	3.66	0.05
11	S4M	4	7	133.881	0.133	0.158395	1000	0.4	-0.001	2.25	1	0	0.2	0.0027	0.0046	0.0125	0.035	0.13	0.33333	3.66	0.05
12	S4H	8	50	152.114	0.102	0.214512	1000	0.4	-0.001	2.25	1	0	0.2	0.002	0.0035	0.0093	0.0262	0.101538	0.33333	3.66	0.05
13	S5L	1	3	73.8189	0.1	0.111111	1000	0.3	-0.001	2	1	0	0.2	0.003	0.006	0.015	0.035	0.175	0.33333	3.66	0.05
